symbol,company_name,yahoo,in_nifty50,in_nifty100,in_midcap100,in_smallcap100
360ONE,360 ONE WAM LIMITED,360ONE.NS,0,0,1,0
AADHARHFC,Aadhar Housing Finance Limited,AADHARHFC.NS,0,0,0,1
AARTIIND,Aarti Industries Limited,AARTIIND.NS,0,0,0,1
ABB,ABB India Limited,ABB.NS,0,1,0,0
ABCAPITAL,Aditya Birla Capital Limited,ABCAPITAL.NS,0,0,1,0
ABREL,Aditya Birla Real Estate Limited,ABREL.NS,0,0,0,1
ACC,ACC Limited,ACC.NS,0,0,1,0
ADANIENSOL,Adani Energy Solutions Limited,ADANIENSOL.NS,0,1,0,0
ADANIENT,Adani Enterprises Limited,ADANIENT.NS,1,1,0,0
ADANIGREEN,Adani Green Energy Limited,ADANIGREEN.NS,0,1,0,0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,1,1,0,0
ADANIPOWER,Adani Power Limited,ADANIPOWER.NS,0,1,0,0
AEGISLOG,Aegis Logistics Limited,AEGISLOG.NS,0,0,0,1
AEGISVOPAK,Aegis Vopak Terminals Limited,AEGISVOPAK.NS,0,0,0,1
AFCONS,Afcons Infrastructure Limited,AFCONS.NS,0,0,0,1
AFFLE,Affle 3i Limited,AFFLE.NS,0,0,0,1
ALKEM,Alkem Laboratories Limited,ALKEM.NS,0,0,1,0
AMBER,Amber Enterprises India Limited,AMBER.NS,0,0,0,1
AMBUJACEM,Ambuja Cements Limited,AMBUJACEM.NS,0,1,0,0
ANANDRATHI,Anand Rathi Wealth Limited,ANANDRATHI.NS,0,0,0,1
ANANTRAJ,Anant Raj Limited,ANANTRAJ.NS,0,0,0,1
ANGELONE,Angel One Limited,ANGELONE.NS,0,0,0,1
APLAPOLLO,APL Apollo Tubes Limited,APLAPOLLO.NS,0,0,1,0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,1,1,0,0
APTUS,Aptus Value Housing Finance India Limited,APTUS.NS,0,0,0,1
ARE&M,Amara Raja Energy & Mobility Limited,ARE&M.NS,0,0,0,1
ASHOKLEY,Ashok Leyland Limited,ASHOKLEY.NS,0,0,1,0
ASIANPAINT,Asian Paints Limited,ASIANPAINT.NS,1,1,0,0
ASTERDM,Aster DM Healthcare Limited,ASTERDM.NS,0,0,0,1
ASTRAL,Astral Limited,ASTRAL.NS,0,0,1,0
ATGL,Adani Total Gas Limited,ATGL.NS,0,0,1,0
ATUL,Atul Limited,ATUL.NS,0,0,0,1
AUBANK,AU Small Finance Bank Limited,AUBANK.NS,0,0,1,0
AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA.NS,0,0,1,0
AXISBANK,Axis Bank Limited,AXISBANK.NS,1,1,0,0
BAJAJ-AUTO,Bajaj Auto Limited,BAJAJ-AUTO.NS,1,1,0,0
BAJAJFINSV,Bajaj Finserv Limited,BAJAJFINSV.NS,1,1,0,0
BAJAJHFL,Bajaj Housing Finance Limited,BAJAJHFL.NS,0,1,0,0
BAJAJHLDNG,Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS,0,1,0,0
BAJFINANCE,Bajaj Finance Limited,BAJFINANCE.NS,1,1,0,0
BANDHANBNK,Bandhan Bank Limited,BANDHANBNK.NS,0,0,0,1
BANKBARODA,Bank of Baroda,BANKBARODA.NS,0,1,0,0
BANKINDIA,Bank of India,BANKINDIA.NS,0,0,1,0
BDL,Bharat Dynamics Limited,BDL.NS,0,0,1,0
BEL,Bharat Electronics Limited,BEL.NS,1,1,0,0
BEML,BEML Limited,BEML.NS,0,0,0,1
BHARATFORG,Bharat Forge Limited,BHARATFORG.NS,0,0,1,0
BHARTIARTL,Bharti Airtel Limited,BHARTIARTL.NS,1,1,0,0
BHARTIHEXA,Bharti Hexacom Limited,BHARTIHEXA.NS,0,0,1,0
BHEL,Bharat Heavy Electricals Limited,BHEL.NS,0,0,1,0
BIOCON,Biocon Limited,BIOCON.NS,0,0,1,0
BLS,BLS International Services Limited,BLS.NS,0,0,0,1
BLUESTARCO,Blue Star Limited,BLUESTARCO.NS,0,0,1,0
BOSCHLTD,Bosch Limited,BOSCHLTD.NS,0,1,0,0
BPCL,Bharat Petroleum Corporation Limited,BPCL.NS,0,1,0,0
BRIGADE,Brigade Enterprises Limited,BRIGADE.NS,0,0,0,1
BRITANNIA,Britannia Industries Limited,BRITANNIA.NS,0,1,0,0
BSE,BSE Limited,BSE.NS,0,0,1,0
CAMS,Computer Age Management Services Limited,CAMS.NS,0,0,0,1
CANBK,Canara Bank,CANBK.NS,0,1,0,0
CASTROLIND,Castrol India Limited,CASTROLIND.NS,0,0,0,1
CDSL,Central Depository Services (India) Limited,CDSL.NS,0,0,0,1
CESC,CESC Limited,CESC.NS,0,0,0,1
CGCL,Capri Global Capital Limited,CGCL.NS,0,0,0,1
CGPOWER,CG Power and Industrial Solutions Limited,CGPOWER.NS,0,1,0,0
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS,0,0,0,1
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS,0,1,0,0
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS,0,0,0,1
CIPLA,Cipla Limited,CIPLA.NS,1,1,0,0
COALINDIA,Coal India Limited,COALINDIA.NS,1,1,0,0
COCHINSHIP,Cochin Shipyard Limited,COCHINSHIP.NS,0,0,1,0
COFORGE,Coforge Limited,COFORGE.NS,0,0,1,0
COLPAL,Colgate Palmolive (India) Limited,COLPAL.NS,0,0,1,0
CONCOR,Container Corporation of India Limited,CONCOR.NS,0,0,1,0
COROMANDEL,Coromandel International Limited,COROMANDEL.NS,0,0,1,0
CREDITACC,CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS,0,0,0,1
CROMPTON,Crompton Greaves Consumer Electricals Limited,CROMPTON.NS,0,0,0,1
CUMMINSIND,Cummins India Limited,CUMMINSIND.NS,0,0,1,0
CYIENT,Cyient Limited,CYIENT.NS,0,0,0,1
DABUR,Dabur India Limited,DABUR.NS,0,0,1,0
DATAPATTNS,Data Patterns (India) Limited,DATAPATTNS.NS,0,0,0,1
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS,0,0,0,1
DELHIVERY,Delhivery Limited,DELHIVERY.NS,0,0,0,1
DEVYANI,Devyani International Limited,DEVYANI.NS,0,0,0,1
DIVISLAB,Divi's Laboratories Limited,DIVISLAB.NS,0,1,0,0
DIXON,Dixon Technologies (India) Limited,DIXON.NS,0,0,1,0
